slang,formal,in_dictionary,context,categories
sebelum2nya,sebelum-sebelumnya,False,"kalo ga tau, baca alkitab! jangan cuma di liat intinya saja/1 kalimat saja. baca yg sebelum2nya. Yesus itu lahir di dunia sbagai Manusia,bangkit dari antara orang mati di hari 3 setelah Dia mati disalibkan untuk menebus dosa manusia di dunia, lalu setelah 40 hari Dia bangkit dari kematian,Ia naik ke Sorga sebagai Roh Kudus, tinggal di dalam Sorga sebagai Tuhan/ Allah. tetapi Dia skrg ada dihati kami masing2 sebagai Roh Kudus! @lighthouse._",['reduplikasi']
sbagai,sebagai,True,"kalo ga tau, baca alkitab! jangan cuma di liat intinya saja/1 kalimat saja. baca yg sebelum2nya. Yesus itu lahir di dunia sbagai Manusia,bangkit dari antara orang mati di hari 3 setelah Dia mati disalibkan untuk menebus dosa manusia di dunia, lalu setelah 40 hari Dia bangkit dari kematian,Ia naik ke Sorga sebagai Roh Kudus, tinggal di dalam Sorga sebagai Tuhan/ Allah. tetapi Dia skrg ada dihati kami masing2 sebagai Roh Kudus! @lighthouse._",['zeroisasi']
masing2,masing-masing,True,"kalo ga tau, baca alkitab! jangan cuma di liat intinya saja/1 kalimat saja. baca yg sebelum2nya. Yesus itu lahir di dunia sbagai Manusia,bangkit dari antara orang mati di hari 3 setelah Dia mati disalibkan untuk menebus dosa manusia di dunia, lalu setelah 40 hari Dia bangkit dari kematian,Ia naik ke Sorga sebagai Roh Kudus, tinggal di dalam Sorga sebagai Tuhan/ Allah. tetapi Dia skrg ada dihati kami masing2 sebagai Roh Kudus! @lighthouse._",['reduplikasi']
amiin,amin,True,Amiin @sandradewi88,['elongasi']
sedihh,sedih,True,Sedihh...,['elongasi']
ka,kak,True,"Kangen banget ka olga syahputra sumpah, jauhkan ka olga dari api neraka ya allah? @lunamaya  @bilsky16",['zeroisasi']
kangennnn,kangen,True,Kak olgaaaa kangennnn,['elongasi']
smga,semoga,True,smga amal kebaikan anda d lipat gndakAn,['abreviasi']
d,di,True,smga amal kebaikan anda d lipat gndakAn,['abreviasi']
gndakan,gandakan,False,smga amal kebaikan anda d lipat gndakAn,['abreviasi']
kk,kakak,True,Kangen almarhum kk olga,['abreviasi']
kangeeeeeeeenya,kangen,True,Rindu sekangen kangeeeeeeeenya sm olga saputra,['elongasi']
sm,sama,True,Rindu sekangen kangeeeeeeeenya sm olga saputra,['abreviasi']
k,kak,True,RIndu k olga:(,['abreviasi']
bgt,banget,True,Suka bgt sama postingan luna yg ini..persahabatan.. Real best friend,['abreviasi']
yg,yang,True,Suka bgt sama postingan luna yg ini..persahabatan.. Real best friend,['abreviasi']
kngen,kangen,True,Suka bgt sama postingan luna yg ini..persahabatan.. Real best friend,['abreviasi']
bgtt,banget,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN","['abreviasi', 'elongasi']"
sma,sama,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['abreviasi']
gaa,enggak,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN","['abreviasi', 'elongasi']"
akn,akan,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['abreviasi']
yg,yang,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['abreviasi']
ganti'kn,menggantikan,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN","['pungtuasi', 'afiksasi']"
smg,semoga,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['abreviasi']
tnang,tenang,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['abreviasi']
amiiiiiiiiiiiiiiiiin,amin,True,"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA AMIIIIIIIIIIIIIIIIIN",['elongasi']
sma,sama,True,Ya Allah kangen sma bang Olga ???,['abreviasi']
kangennnn,kangen,True,Kangennnn olgaa syahputraa ?????,['elongasi']
kgeeeen,kangen,True,Kgeeeen,"['abreviasi', 'elongasi']"
kangeenn,kangen,True,Kangeenn sama alm kak olga..,['elongasi']
kangennn,kangen,True,Kangennn olga .ya allah  kangen bangeeeet,['elongasi']
bangeeeet,banget,True,Kangennn olga .ya allah  kangen bangeeeet,['elongasi']
smoga,semoga,True,Miss you kak olga... smoga kak tnang di sana,['zeroisasi']
tnang,tenang,True,Miss you kak olga... smoga kak tnang di sana,['abreviasi']
kgn,kangen,True,Kgn,['abreviasi']
hdup,hidup,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,['abreviasi']
g,enggak,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,"['word-value letter', 'abreviasi']"
bsok,besok,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,['abreviasi']
hbis,habis,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,['abreviasi']
mti,mati,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,['abreviasi']
g,enggak,True,Hdup mati kita. Kita g pernah tau. Entah nanti bsok atau hbis ini kita mti kita g tau..,"['word-value letter', 'abreviasi']"
bngetttt,banget,True,kangen bngetttt,"['elongasi', 'abreviasi']"
kangeen,kangen,True,Kangeen kak olga,['elongasi']
bgect,banget,True,"Kangen kebersamaan ROL raffi olga luna ,kangen bgect","['abreviasi', 'anaptiksis']"
bangat,banget,True,Ya allah kangen bangat dgn kalian... kapan ya berkumpul lagi,['modifikasi vokal']
dgn,dengan,True,Ya allah kangen bangat dgn kalian... kapan ya berkumpul lagi,['abreviasi']
ama,sama,True,Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,['zeroisasi']
yah,ya,True,Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,['anaptiksis']
ajah,saja,True,Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,"['zeroisasi', 'anaptiksis']"
aja,saja,True,Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,['zeroisasi']
ajah,saja,True,Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,"['zeroisasi', 'anaptiksis']"
fto,foto,True,"Luna,mohon jangan dihapus fto ni biar jadi kenangan bagi kita semua",['abreviasi']
ni,ini,True,"Luna,mohon jangan dihapus fto ni biar jadi kenangan bagi kita semua",['zeroisasi']
"kebaikan""y",kebaikannya,False,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['pungtuasi']
d,di,True,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['abreviasi']
trima,terima,True,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['zeroisasi']
smoga,semoga,True,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['zeroisasi']
jg,juga,True,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['abreviasi']
d,di,True,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['abreviasi']
dssi,disisi,False,"Ka olga semoga amal kebaikan""y d trima oleh allah. &  smoga jg d TEMPATkan dssi mu ya allah .... amin",['abreviasi']
kngenn,kangen,True,Ya allah kngenn bngett,"['abreviasi', 'elongasi']"
bngett,banget,True,Ya allah kngenn bngett,"['abreviasi', 'elongasi']"
kebayang,terbayang,True,"KANGEN KA LUNA,ALMARHUM KA OLGA. CUMA BISA KEBAYANG KA LUNA.KA OLGA DAN KA RAFFI BISA BERTIGA LAGI DI DAHSYAT. YG LUCU.YG BIKIN SEMANGAT HARI HARI ?",['afiksasi']
yg,yang,True,"KANGEN KA LUNA,ALMARHUM KA OLGA. CUMA BISA KEBAYANG KA LUNA.KA OLGA DAN KA RAFFI BISA BERTIGA LAGI DI DAHSYAT. YG LUCU.YG BIKIN SEMANGAT HARI HARI ?",['abreviasi']
yg,yang,True,"KANGEN KA LUNA,ALMARHUM KA OLGA. CUMA BISA KEBAYANG KA LUNA.KA OLGA DAN KA RAFFI BISA BERTIGA LAGI DI DAHSYAT. YG LUCU.YG BIKIN SEMANGAT HARI HARI ?",['abreviasi']
kangeeeeennn,kangen,True,Ka olga kangeeeeennn,['elongasi']
pengen,pengin,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['modifikasi vokal']
dgr,dengar,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['abreviasi']
lagii,lagi,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['elongasi']
dasyat,dahsyat,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['zeroisasi']
ngak,enggak,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['abreviasi']
karna,karena,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['zeroisasi']
ngak,enggak,True,Olgaaa.pengen dgr lucu lo lagii.dasyat itu ngak asyik sekarang karna ngak ada lo olga.?,['abreviasi']
ni,nih,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['zeroisasi']
aer,air,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['modifikasi vokal']
bgni,begini,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['abreviasi']
kk,kakak,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['abreviasi']
sya,saya,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['abreviasi']
pake,pakai,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,['monoftongisasi']
skalii,sekali,True,Jadi keluar ni aer mata kalo bgni :'( kk olga sya rindu pake skalii :'(,"['zeroisasi', 'elongasi']"
kngen,kangen,True,Kngen,['abreviasi']
kk,kakak,True,Miss you kk olga?,['abreviasi']
ama,sama,True,@lunamaya hik..hik..ikutan tumpah..sakit rasanya ditinggal ama org yg kita sayang spt  alm @olgasyahputra89 #MissOlga,['zeroisasi']
org,orang,True,@lunamaya hik..hik..ikutan tumpah..sakit rasanya ditinggal ama org yg kita sayang spt  alm @olgasyahputra89 #MissOlga,['abreviasi']
yg,yang,True,@lunamaya hik..hik..ikutan tumpah..sakit rasanya ditinggal ama org yg kita sayang spt  alm @olgasyahputra89 #MissOlga,['abreviasi']
spt,seperti,True,@lunamaya hik..hik..ikutan tumpah..sakit rasanya ditinggal ama org yg kita sayang spt  alm @olgasyahputra89 #MissOlga,['abreviasi']
alm,almarhum,True,@lunamaya hik..hik..ikutan tumpah..sakit rasanya ditinggal ama org yg kita sayang spt  alm @olgasyahputra89 #MissOlga,['abreviasi']
gg,enggak,True,Gg bisa move on dtinggl kk olga..?,['abreviasi']
dtinggl,ditinggal,False,Gg bisa move on dtinggl kk olga..?,['abreviasi']
kk,kakak,True,Gg bisa move on dtinggl kk olga..?,['abreviasi']
terbaiiikkkkk,terbaik,True,Kak luna terima kasih sudah jadi sahabat terbaiiikkkkk almarhum olga  by dian olgalovers,['elongasi']
murahhh,murah,True,Tunik murahhh,['elongasi']
pecahhg,pecah,True,@mhardikaji pecahhg,"['elongasi', 'anaptiksis']"
ihh,ih,True,"kak  kapan ihh kita photo bareng lagi , skrang aku makin cantik kak heheh pede banget yahh , aku putih kaya gini kan atas saran kaka buat pakai produk dr@fashionsehat_herbal cuman 1bulan kan kulit aku berubah total hehe.",['elongasi']
skrang,sekarang,True,"kak  kapan ihh kita photo bareng lagi , skrang aku makin cantik kak heheh pede banget yahh , aku putih kaya gini kan atas saran kaka buat pakai produk dr@fashionsehat_herbal cuman 1bulan kan kulit aku berubah total hehe.",['abreviasi']
yahh,ya,True,"kak  kapan ihh kita photo bareng lagi , skrang aku makin cantik kak heheh pede banget yahh , aku putih kaya gini kan atas saran kaka buat pakai produk dr@fashionsehat_herbal cuman 1bulan kan kulit aku berubah total hehe.","['anaptiksis', 'elongasi']"
gini,begini,True,"kak  kapan ihh kita photo bareng lagi , skrang aku makin cantik kak heheh pede banget yahh , aku putih kaya gini kan atas saran kaka buat pakai produk dr@fashionsehat_herbal cuman 1bulan kan kulit aku berubah total hehe.",['abreviasi']
kaka,kakak,True,"kak  kapan ihh kita photo bareng lagi , skrang aku makin cantik kak heheh pede banget yahh , aku putih kaya gini kan atas saran kaka buat pakai produk dr@fashionsehat_herbal cuman 1bulan kan kulit aku berubah total hehe.",['zeroisasi']
kakakgh,kakak,True,@tutusjulantika23 kamu adek aku kakakgh,['anaptiksis']
terbaeeeek,terbaik,True,Begh jan emboh pokok wong loro kuwi. Terbaeeeek.. @aprilina25,"['elongasi', 'modifikasi vokal']"
bet,banget,True,beh badai bet @dylaavels,['abreviasi']
pngen,pengin,True,@ariya_dinata aku pngen poto koyok ngene,"['abreviasi', 'modifikasi vokal']"
emg,memang,True,Parah emg @yuliffaa,['abreviasi']
prempuan,perempuan,True,maudy ayunda mirip kokomu nih versi prempuan @liza_margareta,['zeroisasi']
pengen,pengin,True,Pengen Menarik Namun Payudara Kecil? Tenang Ko Sekarang Udah Ada Solusinya Invite Aja Langsung Cek Ig@ahli.payudara.id,['modifikasi vokal']
udah,sudah,True,Pengen Menarik Namun Payudara Kecil? Tenang Ko Sekarang Udah Ada Solusinya Invite Aja Langsung Cek Ig@ahli.payudara.id,['zeroisasi']
manteep,mantap,True,Manteep @jezzy.oktavia,"['modifikasi vokal', 'elongasi']"
wihh,wih,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['elongasi']
gk,enggak,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['abreviasi']
yg,yang,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['abreviasi']
ngerii,ngeri,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['elongasi']
bangettt,banget,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['elongasi']
dehh,deh,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['elongasi']
makasih,terima kasih,True,"Wihh asalnya saya gk percaya sama produk@fashionsehat_herbal yg katanya bisa membesarkan dan mengencangkan payudara, pas saya coba  20 hari aku merasa ada perubahan dengan payudaraku , ngerii bangettt dehh :) makasih ya :)",['akronim']
yg,yang,True,"Aku kira iklan Pantine, pertama kali lihat yg bikin menarik itu rambutnya. Pas baca caption baru nggeh kalo ini buzzer Loreal.",['abreviasi']
nggeh,engah,True,"Aku kira iklan Pantine, pertama kali lihat yg bikin menarik itu rambutnya. Pas baca caption baru nggeh kalo ini buzzer Loreal.","['zeroisasi', 'modifikasi vokal', 'elongasi']"
indonesiaaa,indonesia,True,two of my most faves in Indonesiaaa ??,['elongasi']
makasih,terima kasih,True,"Makasih ya infonya, beneran tau setelah pakai masker dari@dr.bintang.herbal , wajah aku jadi cerah dan jerawat pun hilang Ini pin BBM nya: 5B97503E. sebarkan yuk info ini^_^",['akronim']
beneran,benaran,True,"Makasih ya infonya, beneran tau setelah pakai masker dari@dr.bintang.herbal , wajah aku jadi cerah dan jerawat pun hilang Ini pin BBM nya: 5B97503E. sebarkan yuk info ini^_^",['modifikasi vokal']
inia,ini,True,Inia lho cantik indonesia?,['anaptiksis']
ap,apa,True,Ap,['abreviasi']
maluu,malu,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['elongasi']
sempet,sempat,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['modifikasi vokal']
karna,karena,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['zeroisasi']
gk,enggak,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['abreviasi']
cobaaaa,coba,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['elongasi']
ngerii,ngeri,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['elongasi']
bangett,banget,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['elongasi']
dehhh,deh,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['elongasi']
gak,enggak,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['zeroisasi']
akn,akan,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['abreviasi']
nyesel,menyesal,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['afiksasi']
cepetan,cepatan,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['modifikasi vokal']
ga,enggak,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)","['abreviasi', 'zeroisasi']"
nyesel,menyesal,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['afiksasi']
udah,sudah,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['zeroisasi']
buktiin,membuktikan,True,"Aku maluu banget sama@dr.elsik.herbal , dulu saya sempet DC bbm nya karna aku gk percaya sama sekali sama produknya, tapi pas saya invite lagi dan cobaaaa produknya , ngerii banget perubahannya,masa cuma dalam waktu 7 hari kulit aku jadi putih waw bangett dehhh gak akn nyesel :),kalian coba cepetan jangan mau kalah sama aku cek aja langsung ig nya@dr.elsik.herbal ga akan nyesel aku udah buktiin sekarang giliran kalian :)",['afiksasi']
yg,yang,True,@darevezel duh pagi-pagi ada yg beginian re rasanya....,['abreviasi']
ntapsss,mantap,True,Ntapsss,"['abreviasi', 'anaptiksis', 'elongasi']"
njir,anjir,True,Hair goals njir,['zeroisasi']
kamiiii,kami,True,Kunjungi IG kamiiii batiknya cantik,['elongasi']
yg,yang,True,Kapan lagi punya karpet motif yg sesuai keinginan kamu. Order yuk.,['abreviasi']
bgttt,banget,True,Cantik bgttt,"['abreviasi', 'elongasi']"
sll,selalu,True,U r a great mom @zahratuljannah ...sll smangat ya mb..sedih bc nya,['abreviasi']
smangat,semangat,True,U r a great mom @zahratuljannah ...sll smangat ya mb..sedih bc nya,['zeroisasi']
mb,mbak,True,U r a great mom @zahratuljannah ...sll smangat ya mb..sedih bc nya,['abreviasi']
bc,baca,True,U r a great mom @zahratuljannah ...sll smangat ya mb..sedih bc nya,['abreviasi']
makasih,terima kasih,True,"@qdtosca @nesshafa @iyoshiny @hany07inca kalian membuatku terharu :') makasih byk, alhamdulillah punya temen2 yg baik hati, semoga Allah selalu melindungi kalian juga yaa ???",['akronim']
byk,banyak,True,"@qdtosca @nesshafa @iyoshiny @hany07inca kalian membuatku terharu :') makasih byk, alhamdulillah punya temen2 yg baik hati, semoga Allah selalu melindungi kalian juga yaa ???",['abreviasi']
temen2,teman-teman,False,"@qdtosca @nesshafa @iyoshiny @hany07inca kalian membuatku terharu :') makasih byk, alhamdulillah punya temen2 yg baik hati, semoga Allah selalu melindungi kalian juga yaa ???","['reduplikasi', 'modifikasi vokal']"
yg,yang,True,"@qdtosca @nesshafa @iyoshiny @hany07inca kalian membuatku terharu :') makasih byk, alhamdulillah punya temen2 yg baik hati, semoga Allah selalu melindungi kalian juga yaa ???",['abreviasi']
yaa,ya,True,"@qdtosca @nesshafa @iyoshiny @hany07inca kalian membuatku terharu :') makasih byk, alhamdulillah punya temen2 yg baik hati, semoga Allah selalu melindungi kalian juga yaa ???",['elongasi']
byk,banyak,True,"@nnaanna_ @wiwiendz amiin ya Allah, many thanks dear ??? alhamdulillah byk yg sayang sama mika :')",['abreviasi']
yg,yang,True,"@nnaanna_ @wiwiendz amiin ya Allah, many thanks dear ??? alhamdulillah byk yg sayang sama mika :')",['abreviasi']
